state,county,population,area,populationDensity
Maryland,Allegany,74012,430,172
Maryland,Anne Arundel,550488,588,936
Maryland,Baltimore,817455,682,1199
Maryland,Baltimore City,621342,92,6754
Maryland,Calvert,89628,345,260
Maryland,Caroline,32718,326,100
Maryland,Carroll,167217,452,370
Maryland,Cecil,101696,418,243
Maryland,Charles,150592,643,234
Maryland,Dorchester,32551,540,60
Maryland,Frederick,239582,667,359
Maryland,Garrett,29854,656,46
Maryland,Harford,248622,527,472
Maryland,Howard,299430,254,1179
Maryland,Kent,20191,414,49
Maryland,Montgomery,1004709,507,1982
Maryland,Prince George's,881138,498,1769
Maryland,Queen Anne's,48595,510,95
Maryland,Saint Mary's,108987,611,178
Maryland,Somerset,26253,611,43
Maryland,Talbot,38098,477,80
Maryland,Washington,149180,468,319
Maryland,Wicomico,100647,400,252
Maryland,Worcester,51578,695,74
Delaware,Kent,162310,800,203
Delaware,New Castle,538479,494,1090
Delaware,Sussex,197145,1196,165